titleTR,titleEN,category,subCategory,collection,model,sourceUrl
"U201 ST19 Egger Pebble Grey","U201 ST19 Egger Pebble Grey","Kenar Bandı","PVC","Unicolour","2194","https://boyutplastik.com.tr/edgeband-finder/egger-pebble-grey"
"U321 ST9 Egger China Red","U321 ST9 Egger China Red","Kenar Bandı","PVC","Unicolour","2195","https://boyutplastik.com.tr/edgeband-finder/egger-china-red"
"W1000 ST9 Egger Premium White","W1000 ST9 Egger Premium White","Kenar Bandı","PVC","Unicolour","2196","https://boyutplastik.com.tr/edgeband-finder/egger-premium-white"
"U525 ST9 Egger Delft Blue","U525 ST9 Egger Delft Blue","Kenar Bandı","PVC","Unicolour","2197","https://boyutplastik.com.tr/edgeband-finder/egger-delft-blue"
"U732 PG Egger Dust Grey","U732 PG Egger Dust Grey","Kenar Bandı","PVC","Unicolour","2198","https://boyutplastik.com.tr/edgeband-finder/egger-dust-grey"
"U960 ST9 Egger Onyx Grey","U960 ST9 Egger Onyx Grey","Kenar Bandı","PVC","Unicolour","2200","https://boyutplastik.com.tr/edgeband-finder/egger-onyx-grey"
"U222 ST9 Egger Crema Beige","U222 ST9 Egger Crema Beige","Kenar Bandı","PVC","Unicolour","2201","https://boyutplastik.com.tr/edgeband-finder/egger-crema-beige"
"0001 Beyaz","0001 Beyaz","Kenar Bandı","PVC","Unicolour","0001","https://boyutplastik.com.tr/edgeband-finder/beyaz"
"0190 KRP Black","0190 KRP Black","Kenar Bandı","PVC","Unicolour","2151","https://boyutplastik.com.tr/edgeband-finder/krp-black"
"0101 KRP Front White","0101 KRP Front White","Kenar Bandı","PVC","Unicolour","2153","https://boyutplastik.com.tr/edgeband-finder/krp-front-white"
"015 Orma Armut","015 Orma Armut","Kenar Bandı","PVC","Unicolour","0547","https://boyutplastik.com.tr/edgeband-finder/orma-armut"
